Name,Price,Drive-type,Fuel-type,Transmission,Engine,Mileague
2023 Honda Accord Hybrid Touring,"$38,985 ", Front-wheel Drive ,Hybrid ,Variable,Gas/Electric I-4 2.0 L/122, 4 mi. 
2023 Cadillac CT5 Premium Luxury RWD,"$52,055 ", Rear-wheel Drive ,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo, 11 mi. 
2024 BMW X5 sDrive40i,"$76,145 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic with Steptronic,3.0L I6 24V GDI DOHC Turbo, 0 mi. 
2024 Subaru Crosstrek Premium,"$27,604 ", AWD ,Gasoline ,Automatic CVT,2.0L, 0 mi. 
2023 Rolls-Royce Cullinan Black Badge,"$515,000 ", All-wheel Drive ,Gasoline ,Automatic,6.8 L V12," 2,822 mi. "
2019 BMW X3 sDrive30i,"$32,999 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 30,798 mi. "
2015 GMC Sierra 1500 Base,"$17,500 ", Rear-wheel Drive ,Gasoline ,Automatic,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr"," 95,020 mi. "
2021 Jeep Grand Cherokee Limited,"$29,998 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC," 45,509 mi. "
1988 Porsche 911 Cabriolet,"$62,500 ", Rear-wheel Drive ,Gasoline ,5-Speed Manual,3.2L H6 12V SOHC," 126,124 mi. "
2023 Jeep Grand Cherokee Overland,"$59,332 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, 10 mi. 
2020 Toyota Tundra SR5,"$45,900 ", Four-wheel Drive ,Gasoline ,6-Speed Automatic,5.7L V8 32V MPFI DOHC," 18,085 mi. "
2016 Lexus RX 350 350,"$30,465 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.5L V6 24V GDI DOHC," 76,859 mi. "
2008 Toyota Tundra Limited,"$21,990 ", Four-wheel Drive ,Gasoline ,6-Speed Automatic,5.7L V8 32V MPFI DOHC," 141,141 mi. "
2022 Toyota Highlander L,"$35,816 ", Front-wheel Drive ,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC," 20,518 mi. "
2022 Buick Encore Preferred,"$29,410 ", All-wheel Drive ,Gasoline ,Automatic,"Ecotec 1.4L I-4 gasoline direct injection, DOHC, VVT variable va", 0 mi. 
2023 Ford Mustang GT Premium,"$58,995 ", Rear-wheel Drive ,Gasoline ,–,5.0L V8 32V PDI DOHC, 7 mi. 
2022 Toyota Highlander Hybrid XLE,"$41,898 ", All-wheel Drive ,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid," 28,619 mi. "
2022 Rivian R1S Launch Edition,"$98,900 ", All-wheel Drive ,1-Speed Automatic,Electric, 7PDSGABL7NN003031 ,"

Adaptive Cruise ControlHeated Steering WheelNavigation SystemPower Liftgate

"
2016 Honda HR-V EX-L w/Navigation,"$11,849 ", All-wheel Drive ,Gasoline ,Automatic CVT,1.8L I4 16V MPFI SOHC," 173,512 mi. "
2020 Jeep Grand Cherokee Limited,"$26,080 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC," 93,449 mi. "
2013 Honda CR-V EX-L,"$12,500 ", All-wheel Drive ,Gasoline ,5-Speed Automatic,2.4L I4 16V MPFI DOHC," 159,493 mi. "
2022 Chevrolet Equinox Premier,"$28,500 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo," 23,853 mi. "
2023 Chevrolet Corvette Stingray w/3LT,"$104,930 ", Rear-wheel Drive ,Gasoline ,Automatic,"6.2L V-8 gasoline direct injection, variable valve control, engi", 11 mi. 
2020 Kia Telluride LX,"$28,120 ", Front-wheel Drive ,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC," 81,395 mi. "
2018 Lexus LC 500 Base,"$68,126 ", Rear-wheel Drive ,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC," 28,653 mi. "
2022 RAM 3500 Tradesman,"$85,330 ", Four-wheel Drive ,Diesel ,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel, 395 mi. 
2018 Mercedes-Benz AMG E 43 Base 4MATIC,"$38,995 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo," 54,343 mi. "
1984 Porsche 944 ,"$14,995 ", Rear-wheel Drive ,Gasoline ,5-Speed,2.5L I4 8V SOHC," 60,788 mi. "
2019 Ford F-250 XLT,"$43,835 ", Four-wheel Drive ,Diesel ,Automatic,"Powerstroke 6.7L V-8 diesel direct injection, intercooled turbo,"," 70,227 mi. "
2023 Chevrolet Silverado 1500 LT Trail Boss,"$64,015 ", Four-wheel Drive ,Diesel ,10-Speed Automatic,3.0L I6 24V DDI DOHC Turbo Diesel, 4 mi. 
1985 Chevrolet Camaro Z28,"$42,950 ", RWD ,Gasoline ,4-Speed Automatic,5.0L V8 16V OHV," 4,280 mi. "
2014 Cadillac XTS Luxury,"$18,500 ", All-wheel Drive ,E85 Flex Fuel ,6-Speed Automatic,3.6L V6 24V GDI DOHC Flexible Fuel," 62,610 mi. "
2023 Audi SQ5 Sportback Prestige TFSI quattro Tiptronic,"$73,470 ", All-wheel Drive ,Gasoline ,Automatic,"3L V-6 gasoline direct injection, DOHC, variable valve control,", 10 mi. 
2022 Jeep Wrangler Unlimited Sport,"$82,026 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, 13 mi. 
2015 Chevrolet Corvette Stingray Z51,"$52,990 ", Rear-wheel Drive ,Gasoline ,7-Speed Manual,6.2L V8 16V GDI OHV," 15,660 mi. "
2023 Nissan Frontier PRO-4X,"$41,415 ", Four-wheel Drive ,Gasoline ,Automatic,3.8L V6 24V GDI DOHC, 1 mi. 
2015 GMC Yukon XL Denali,"$17,800 ", Four-wheel Drive ,Gasoline ,6-Speed Automatic,6.2L V8 16V GDI OHV," 244,177 mi. "
2023 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,"$45,467 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC, 8 mi. 
2023 Acura Integra w/A-Spec Package,"$32,650 ", Front-wheel Drive ,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo," 13,000 mi. "
2023 Nissan Rogue SL,Not Priced, Front-wheel Drive ,Gasoline ,Automatic CVT,1.5L I3 12V GDI DOHC Turbo, 15 mi. 
2023 Ford F-350 Lariat,"$97,125 ", Four-wheel Drive ,Diesel ,10-Speed Automatic,"Powerstroke 6.7L V-8 diesel direct injection, DEVCT intercooled", 1 mi. 
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC,"$56,500 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo," 14,756 mi. "
2011 Buick LaCrosse CXL,"$5,992 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,2.4L I4 16V GDI DOHC," 144,335 mi. "
2023 Honda Civic Type R Touring,"$44,845 ", Front-wheel Drive ,Gasoline ,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo, 1 mi. 
2020 Mitsubishi Outlander Sport 2.0 ES,"$16,800 ", Four-wheel Drive ,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC," 81,151 mi. "
2019 RAM 1500 Big Horn,"$29,600 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV," 60,137 mi. "
2023 INFINITI QX80 PREMIUM SELECT,"$83,595 ", Four-wheel Drive ,Gasoline ,Automatic,5.6L V8 32V GDI DOHC, 0 mi. 
2022 Mercedes-Benz S-Class S 580 4MATIC,"$115,995 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo," 4,000 mi. "
2019 Cadillac CT6 Luxury,"$38,524 ", All-wheel Drive ,Gasoline ,10-Speed Automatic,3.6L V6 24V GDI DOHC," 24,312 mi. "
2023 GMC Yukon SLT,"$72,995 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,5.3L V8 16V GDI OHV, 6 mi. 
2022 Volkswagen Atlas 3.6L SE w/Technology,"$36,595 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC," 56,932 mi. "
2022 Toyota Tundra SR5,"$50,094 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo," 22,159 mi. "
2018 Toyota Tundra SR5,"$25,810 ", Rear-wheel Drive ,Gasoline ,6-Speed Automatic Electronic with Overdrive,"I-FORCE 5.7L V-8 DOHC, VVT-i variable valve control, engine with"," 152,591 mi. "
2019 Chevrolet Corvette ZR1,"$248,950 ", Rear-wheel Drive ,Gasoline ,7-Speed Manual,6.2L V8 16V PDI OHV Supercharged," 3,586 mi. "
2008 Chevrolet Corvette .,"$24,899 ", Rear-wheel Drive ,Gasoline ,6-Speed Manual,6.2L V8 16V MPFI OHV," 71,156 mi. "
2022 Toyota Highlander L,"$32,881 ", Front-wheel Drive ,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC," 43,482 mi. "
2015 Dodge Challenger R/T,"$29,717 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV," 37,943 mi. "
2022 Chevrolet Tahoe Z71,"$70,147 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,5.3L V8 16V GDI OHV," 7,216 mi. "
2023 Ford Bronco ,"$64,810 ", Four-wheel Drive ,Gasoline ,–,2.3L I4 16V GDI DOHC Turbo, 12 mi. 
2021 Ford Bronco Wildtrak,"$58,823 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo," 21,041 mi. "
2024 Subaru Outback 2.5i Limited,"$39,425 ", – ,Gasoline ,Automatic CVT,2.5L 4 Cyl., 0 mi. 
2023 RAM 1500 TRX,"$108,750 ", Four-wheel Drive ,Gasoline ,Automatic,"HEMI 6.2L V-8 intercooled supercharger, engine with 702HP", 5 mi. 
2022 RAM 1500 Laramie,"$54,012 ", Four-wheel Drive ,Diesel ,Automatic,"EcoDiesel 3L V-6 diesel direct injection, DOHC, intercooled turb", 5 mi. 
2012 Nissan Altima 2.5 S,"$5,500 ", Front-wheel Drive ,Gasoline ,Automatic,"2.5L I-4 DOHC, variable valve control, engine with 175HP"," 151,220 mi. "
2024 Mazda CX-90 Premium,"$51,669 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.3L, 5 mi. 
2023 Kia Sorento X-Line EX,"$41,685 ", All-wheel Drive ,Gasoline ,Automatic,2.5L I4 16V PDI DOHC Turbo, 8 mi. 
2018 Chevrolet Traverse LT Leather,"$21,999 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC," 97,695 mi. "
2022 RAM 2500 Power Wagon,"$69,030 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,"HEMI 6.4L V-8 VVT variable valve control, engine with cylinder d", 1 mi. 
2017 Dodge Journey SE,"$14,494 ", Front-wheel Drive ,Gasoline ,4-Speed Automatic,2.4L I4 16V MPFI DOHC," 62,234 mi. "
2017 Acura RDX Base,"$15,777 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI SOHC," 105,364 mi. "
2023 Hyundai Elantra SEL,"$23,745 ", FWD ,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC, 10 mi. 
2020 Ford F-150 Lariat,"$39,485 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo," 44,143 mi. "
2022 Land Rover Defender 110 S,"$62,990 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 14,704 mi. "
2023 Toyota Corolla Hybrid ,"$24,868 ", Front-wheel Drive ,Hybrid ,1-Speed CVT with Overdrive,1.8L I4 16V MPFI DOHC Hybrid, 2 mi. 
2023 Kia Telluride SX X-Pro,"$56,170 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC, 8 mi. 
2023 Chevrolet Tahoe RST,"$77,065 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic with Overdrive,6.2L V8 16V GDI OHV, 7 mi. 
2016 Chevrolet Silverado 1500 LT,"$27,592 ", Four-wheel Drive ,E85 Flex Fuel ,6-Speed Automatic,4.3L V6 12V GDI OHV Flexible Fuel," 37,637 mi. "
2019 Ford F-150 XL,"$34,991 ", Four-wheel Drive ,E85 Flex Fuel ,6-Speed Automatic,3.3L V6 24V PDI DOHC Flexible Fuel," 14,022 mi. "
2019 Ford F-150 XLT,"$29,999 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo," 42,280 mi. "
2023 Bentley Bentayga Azure,"$274,655 ", AWD ,Gasoline ,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo, 23 mi. 
2020 Ford Expedition Limited,"$37,965 ", Rear-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo," 72,468 mi. "
2022 BMW X7 M50i,"$84,999 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo," 8,789 mi. "
2023 BMW M3 Competition xDrive,"$97,750 ", All-wheel Drive ,Gasoline ,8-Speed Automatic with Steptronic,3.0L I6 24V GDI DOHC Twin Turbo," 3,387 mi. "
2018 Hyundai Sonata Sport,"$16,595 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,2.4L I4 16V GDI DOHC," 103,812 mi. "
2023 Chevrolet Equinox 1LT,"$31,250 ", Front-wheel Drive ,Gasoline ,6-Speed Electronically Controlled Automatic with O,1.5L I4 16V GDI DOHC Turbo, 1 mi. 
2019 Chevrolet Silverado 2500 LTZ,"$41,939 ", Four-wheel Drive ,Diesel ,6-Speed Automatic,6.6L V8 32V DDI OHV Turbo Diesel," 160,293 mi. "
2023 Kia Rio S,"$20,490 ", Front-wheel Drive ,Gasoline ,Automatic CVT,1.6L I4 16V MPFI DOHC, 9 mi. 
2013 GMC Terrain SLE-1,"$9,989 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,2.4L I4 16V GDI DOHC," 145,289 mi. "
2021 Ford F-150 King Ranch,"$45,499 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,5.0L 8 Cylinder," 20,947 mi. "
2014 Porsche Cayenne Base,"$20,995 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC," 83,180 mi. "
2023 Nissan Pathfinder Platinum,"$54,435 ", Four-wheel Drive ,Gasoline ,Automatic,3.5L V6 24V GDI DOHC, 5 mi. 
2015 BMW X4 xDrive28i,"$20,295 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 78,885 mi. "
2021 GMC Yukon XL SLT,"$53,000 ", Rear-wheel Drive ,Gasoline ,10-Speed Automatic,5.3L V8 16V GDI OHV," 67,972 mi. "
2020 Mercedes-Benz AMG C 43 Base 4MATIC,"$46,200 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo," 36,469 mi. "
2021 Volvo S60 Recharge Plug-In Hybrid T8 Inscription,"$43,499 ", All-wheel Drive ,Hybrid ,8-Speed Automatic,2.0L I4 16V GDI DOHC Hybrid," 23,343 mi. "
2023 Hyundai Kona SEL,"$24,346 ", Front-wheel Drive ,Gasoline ,Automatic,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP", 195 mi. 
2020 Honda Civic EX,"$21,996 ", Front-wheel Drive ,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo," 39,421 mi. "
2016 Ford Mustang V6,"$17,999 ", Rear-wheel Drive ,Gasoline ,Manual,"3.7L V-6 DOHC, Ti-VCT variable valve control, engine with 300HP"," 75,269 mi. "
2021 Toyota Highlander Hybrid LE,"$38,995 ", All-wheel Drive ,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid," 25,473 mi. "
2020 Land Rover Range Rover Sport 3.0L Supercharged HSE,"$51,500 ", Four-wheel Drive ,Gasoline ,Automatic,V6," 56,590 mi. "
2022 Cadillac Escalade ESV Premium Luxury,"$96,999 ", Rear-wheel Drive ,Diesel ,Automatic,3.0L I6 24V DDI DOHC Turbo Diesel," 18,842 mi. "
2010 Nissan 370Z Touring,"$24,950 ", Rear-wheel Drive ,Gasoline ,6-Speed Manual,3.7L V6 24V MPFI DOHC," 39,001 mi. "
2020 Ford F-150 Lariat,"$42,988 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo," 47,557 mi. "
2023 Chevrolet Colorado LT,"$34,860 ", Rear-wheel Drive ,Gasoline ,Automatic,"2.7L I-4 gasoline direct injection, DOHC, variable valve control", 1 mi. 
2023 Ford Mustang EcoBoost Premium,"$43,705 ", Rear-wheel Drive ,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo, 12 mi. 
2016 RAM 3500 Tradesman,"$41,775 ", Four-wheel Drive ,Diesel ,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel," 47,459 mi. "
2023 Jeep Gladiator Rubicon,"$55,569 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, 11 mi. 
2016 Acura TLX V6 Advance,"$22,962 ", Front-wheel Drive ,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC," 77,870 mi. "
2023 Ford F-150 Platinum,"$80,565 ", 4WD ,Hybrid ,Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid, 0 mi. 
2016 Lexus RC 200t Base,"$18,951 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V PDI DOHC Turbo," 130,882 mi. "
2023 Kia Telluride SX-Prestige,"$54,970 ", All-wheel Drive ,Gasoline ,Automatic,3.8L V6 24V GDI DOHC, 0 mi. 
2023 Ford Expedition Max King Ranch,"$91,081 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 0 mi. 
2019 Toyota 4Runner Limited,"$34,200 ", Four-wheel Drive ,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC," 97,058 mi. "
2018 Honda Pilot EX-L,"$21,940 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI SOHC," 123,201 mi. "
2013 Honda CR-V EX,"$16,995 ", All-wheel Drive ,Gasoline ,5-Speed Automatic,2.4L I4 16V MPFI DOHC," 92,638 mi. "
2019 Mazda CX-3 Touring,"$18,273 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,2.0L I4 16V," 86,839 mi. "
2023 Volkswagen Tiguan 2.0T SE R-Line Black,"$34,395 ", Front-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo, 5 mi. 
2020 Chevrolet Suburban LT,"$42,171 ", Four-wheel Drive ,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV," 75,753 mi. "
2019 BMW X4 xDrive30i,"$38,796 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 24,294 mi. "
2023 Chevrolet Silverado 2500 LT,"$55,390 ", Four-wheel Drive ,Gasoline ,Automatic,"6.6L V-8 gasoline direct injection, variable valve control, engi", 0 mi. 
2020 Volvo V60 T5 Inscription,"$30,893 ", Front-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 47,240 mi. "
2022 GMC Sierra 1500 Denali,"$64,990 ", Four-wheel Drive ,Diesel ,10-Speed Automatic,3.0L I6 24V DDI DOHC Turbo Diesel," 16,747 mi. "
2023 Ford F-150 Tremor,"$70,115 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 3 mi. 
2007 Toyota Camry LE,"$8,697 ", Front-wheel Drive ,Gasoline ,5-Speed Automatic,2.4L I4 16V MPFI DOHC," 96,998 mi. "
2023 Genesis G80 3.5T,"$73,420 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo, – 
2023 Kia Sorento X-Line EX,"$42,375 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC Turbo, 8 mi. 
2023 Jeep Grand Cherokee L Limited,"$53,999 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, 0 mi. 
2021 GMC Yukon XL SLT,"$65,190 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,5.3L V8 16V GDI OHV," 24,908 mi. "
2020 BMW 750 i xDrive,"$63,995 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo," 23,250 mi. "
2022 Jeep Wrangler Unlimited Sport,"$82,255 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, 27 mi. 
2023 Hyundai Palisade SEL,"$42,940 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC, – 
2023 GMC Yukon SLT,"$72,020 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic with Overdrive,5.3L V8 16V GDI OHV, 3 mi. 
2018 BMW 330 Gran Turismo xDrive,"$18,990 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,"2L I-4 gasoline direct injection, DOHC, variable valve control,"," 102,280 mi. "
2020 Lexus GX 460 Base,"$49,900 ", Four-wheel Drive ,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC," 30,847 mi. "
2024 Subaru Crosstrek Premium,"$28,882 ", All-wheel Drive ,– ,Automatic CVT,0.0L, 3 mi. 
2021 Toyota Highlander Hybrid XLE,"$42,000 ", All-wheel Drive ,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid," 39,089 mi. "
2020 Chevrolet Corvette Stingray w/3LT,"$83,412 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic with Auto-Shift,6.2L V8 16V GDI OHV," 4,271 mi. "
2022 RAM 1500 Rebel,"$65,900 ", Four-wheel Drive ,Gasoline ,Automatic,5.7L V8 16V MPFI OHV, 1 mi. 
2020 Chevrolet Camaro 2SS,"$39,977 ", Rear-wheel Drive ,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV," 31,846 mi. "
2024 Subaru Crosstrek Premium,"$30,533 ", AWD ,Gasoline ,Automatic CVT,2.0L, 0 mi. 
2023 Toyota Camry TRD V6,Not Priced, Front-wheel Drive ,Gasoline ,Automatic,Regular Unleaded V-6 3.5 L/211, 0 mi. 
2021 Subaru Ascent Touring 7-Passenger,"$39,812 ", All-wheel Drive ,Gasoline ,Automatic CVT,2.4L H4 16V GDI DOHC Turbo," 20,857 mi. "
2021 Toyota 4Runner SR5 4WD,"$34,949 ", Four-wheel Drive ,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC," 59,457 mi. "
2016 Honda CR-V EX-L,"$18,290 ", All-wheel Drive ,Gasoline ,Automatic CVT,2.4L I4 16V GDI DOHC," 97,507 mi. "
2015 Dodge Journey SE,"$14,570 ", Front-wheel Drive ,Gasoline ,4-Speed Automatic,2.4L I4 16V MPFI DOHC," 78,656 mi. "
2000 Chevrolet Corvette ,"$17,888 ", Rear-wheel Drive ,Gasoline ,4-Speed Automatic,5.7L V8 16V MPFI OHV," 87,292 mi. "
2013 Jeep Grand Cherokee Laredo,"$12,515 ", Rear-wheel Drive ,E85 Flex Fuel ,5-Speed Automatic,3.6L V6 24V MPFI DOHC Flexible Fuel," 158,109 mi. "
2010 Honda Element EX,"$15,944 ", Front-wheel Drive ,Gasoline ,5-Speed Automatic,2.4L I4 16V MPFI DOHC," 94,579 mi. "
2019 Ford Expedition Max Limited,"$34,000 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo," 100,243 mi. "
2017 Land Rover Range Rover 5.0L V8 Supercharged,"$36,352 ", Four-wheel Drive ,Gasoline ,Automatic,Intercooled Supercharger Premium Unleaded V-8 5.0 L/305," 72,544 mi. "
2014 BMW 320 i,"$12,543 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 108,616 mi. "
2021 Mazda CX-5 Touring,"$23,200 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,2.5L I4 16V," 51,793 mi. "
2019 Volkswagen Atlas 3.6L S,"$23,249 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC," 87,226 mi. "
2023 Dodge Durango R/T,"$62,925 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV, 0 mi. 
2018 Volvo XC60 T6 Inscription,"$29,575 ", All-wheel Drive ,Gasoline ,Automatic,"Drive-E 2L I-4 gasoline direct injection, DOHC, variable valve c"," 68,236 mi. "
2019 Dodge Challenger R/T Scat Pack,"$49,600 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,6.4L V8 16V MPFI OHV," 11,071 mi. "
2023 Honda Pilot LX,"$39,395 ", All-wheel Drive ,Gasoline ,Automatic,Premium Unleaded V-6 3.5 L/212, 10 mi. 
2023 Audi Q8 55 Premium,"$85,625 ", All-wheel Drive ,Gasoline ,Automatic with Tiptronic,3.0L V6 24V GDI DOHC Turbo, 6 mi. 
2018 Cadillac Escalade Premium Luxury,"$51,792 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV," 44,316 mi. "
2018 Lexus RC 350 Base,"$37,500 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V PDI DOHC," 53,666 mi. "
2023 Volkswagen Atlas 3.6L SEL,"$49,476 ", All-wheel Drive ,Gasoline ,Automatic,"3.6L V-6 gasoline direct injection, DOHC, variable valve control", 1 mi. 
2023 GMC Canyon Elevation,"$38,395 ", Rear-wheel Drive ,Gasoline ,Automatic,"2.7L I-4 gasoline direct injection, DOHC, variable valve control", 0 mi. 
2013 Cadillac CTS Performance,"$14,291 ", Rear-wheel Drive ,Gasoline ,Automatic,"3.6L V-6 gasoline direct injection, DOHC, variable valve control"," 107,323 mi. "
2020 Mercedes-Benz S-Class S 450,"$61,800 ", Rear-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo," 25,086 mi. "
2023 GMC Canyon AT4,"$51,970 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo, – 
2018 BMW 440 Gran Coupe i,"$26,889 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo," 66,203 mi. "
2017 Volvo XC90 T6 Momentum,"$22,479 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC," 117,100 mi. "
2001 Chevrolet Silverado 2500 LT H/D Extended Cab,"$11,497 ", Four-wheel Drive ,Gasoline ,5-Speed Automatic,8.1L V8 16V MPFI OHV," 141,211 mi. "
2023 Ford Bronco Sport Outer Banks,"$37,320 ", Four-wheel Drive ,Gasoline ,–,1.5L I3 12V PDI DOHC Turbo, 10 mi. 
2020 Kia Rio S,"$14,391 ", Front-wheel Drive ,Gasoline ,Automatic CVT,1.6L I4 16V MPFI DOHC," 86,189 mi. "
