Name,Price,Drive-type,Fuel-type,Transmission,Engine,Mileague
2023 Ford F-150 XLT,"$65,180 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo, 15 mi. 
2023 Dodge Durango R/T,"$61,775 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV, 10 mi. 
2023 Dodge Challenger R/T,"$39,553 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV, 14 mi. 
2023 Hyundai Santa Fe SEL,"$39,405 ", FWD ,Gasoline ,8-Speed Automatic with SHIFTRONIC,2.5L I4 16V PDI DOHC, 5 mi. 
2023 Toyota Venza Nightshade,"$43,097 ", All-wheel Drive ,Hybrid ,Automatic,2.5L I4 16V PDI DOHC Hybrid, 0 mi. 
2023 Nissan Titan XD SV,"$59,635 ", Four-wheel Drive ,Gasoline ,Automatic,5.6L V8 32V GDI DOHC, 5 mi. 
2023 Jeep Gladiator Sport,"$52,440 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, 13 mi. 
2023 Ford Bronco Sport Big Bend,"$36,790 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,1.5L I3 12V PDI DOHC Turbo, 3 mi. 
2023 Chevrolet Tahoe Premier,"$77,620 ", RWD ,Gasoline ,Automatic,5.3L V8 16V GDI OHV, 10 mi. 
2024 BMW X7 xDrive40i,"$93,445 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.0L I6 24V DOHC, 6 mi. 
2023 GMC Canyon AT4,"$51,975 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo, – 
2023 Jeep Grand Cherokee L Laredo,"$48,070 ", Rear-wheel Drive ,Gasoline ,–,3.6L V6 24V MPFI DOHC, 0 mi. 
2023 Acura RDX A-Spec Advance Package,"$52,545 ", All-wheel Drive ,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo, 11 mi. 
2023 Jeep Grand Wagoneer Series II,"$102,375 ", Four-wheel Drive ,Gasoline ,Automatic,3.0L I6 24V GDI DOHC Twin Turbo, 16 mi. 
2023 Chevrolet Corvette Stingray w/3LT,Not Priced, Rear-wheel Drive ,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV, 35 mi. 
2023 Lexus LS 500 Base,"$91,390 ", AWD ,Gasoline ,Automatic,3.4L V6 24V PDI DOHC Twin Turbo, 10 mi. 
2023 Ford Escape ST-Line Elite,"$41,055 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo, – 
2023 Kia Sorento Plug-In Hybrid SX Prestige,"$53,985 ", All-wheel Drive ,Hybrid ,Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid, 9 mi. 
