Name,Price,Drive-type,Fuel-type,Transmission,Engine,Mileague
2023 Volkswagen Atlas 3.6L SE wTechnology,43456,Front-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,17
2022 Ford F-150 XLT,46580,Rear-wheel Drive,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,13
2023 Toyota Sequoia TRD Pro,79094,Four-wheel Drive,Hybrid,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,
2023 Volkswagen Tiguan 2.0T S,27683,Front-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,0
2023 GMC Sierra 1500 AT4,97990,Four-wheel Drive,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,16
2023 Mercedes-Benz EQE 500 AMG LINE,94790,NoInfo,,1-Speed Automatic,NoInfo,5
2023 Ford Bronco Big Bend,52875,Four-wheel Drive,Gasoline,Automatic,2.3L I4 16V GDI DOHC Turbo,
2023 BMW X5 xDrive40i,73499,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,9
2023 GMC Sierra 1500 SLT,68345,Four-wheel Drive,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,3
2022 Toyota Tundra Limited,60937,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,2
2023 Jeep Grand Cherokee L Limited,49673,Four-wheel Drive,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,9
2023 Toyota Tundra Hybrid Limited,56842,Rear-wheel Drive,Hybrid,Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,6
2023 Land Rover Defender 90 Carpathian Edition,118620,Four-wheel Drive,Gasoline,Automatic,5.0L V8 32V GDI DOHC Supercharged,3
2023 RAM 2500 Laramie,87065,Four-wheel Drive,Diesel,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel,3
2024 Chevrolet Trax RS,25645,Front-wheel Drive,Gasoline,6-Speed Automatic,1.2L Turbo DOHC,12
2023 Ford Bronco Wildtrak,72345,Four-wheel Drive,Gasoline,,2.7L V6 24V PDI DOHC Twin Turbo,5
2022 Ford F-150 XLT,52735,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,22
2023 Toyota 4Runner TRD Off Road Premium,53596,Four-wheel Drive,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,0
2023 Chevrolet Colorado LT,34800,NoInfo,Gasoline,Automatic,2.7L I4 16V GDI DOHC Turbo,0
